Hecate:ProjectEuler fwu$ python euler0044.py
749420 49959 49964 4 707
749420 31222 31230 7 707
749420 7120 7155 34 707
749420 4687 4740 52 707
749420 4433 4489 55 707
749420 2423 2524 100 707
749420 488 859 370 707
751542 7575 7608 32 708
751542 1832 1964 131 708
751542 1327 1504 176 708
753667 251222 251223 0 709
755795 125965 125967 1 710
755795 50384 50389 4 710
755795 3513 3584 70 710
757926 28067 28076 8 711
757926 7000 7036 35 711
757926 2101 2218 116 711
757926 306 774 467 711
760060 253353 253354 0 712
760060 36190 36197 6 712
760060 6314 6354 39 712
760060 4123 4184 60 712
760060 765 1045 279 712
760060 380 807 426 712
760060 347 792 444 712
762197 127032 127034 1 713
762197 11035 11058 22 713
762197 4067 4129 61 713
764337 84925 84928 2 714
764337 12122 12143 20 714
764337 2447 2549 101 714
766480 255493 255494 0 715
766480 19647 19660 12 715
766480 4618 4673 54 715
766480 3780 3847 66 715
766480 1517 1677 159 715
766480 550 902 351 715
768626 2211 2324 112 716
768626 1342 1521 178 716
768626 341 793 451 716
770775 42818 42824 5 717
770775 17121 17136 14 717
770775 1638 1788 149 717
770775 867 1125 257 717
770775 76 721 644 717
772927 257642 257643 0 718
775082 23482 23493 10 719
775082 5850 5894 43 719
775082 3317 3394 76 719
775082 685 993 307 719
775082 210 749 538 719
777240 5735 5780 44 720
777240 1617 1770 152 720
779401 259800 259801 0 721
779401 37111 37118 6 721
779401 5625 5671 45 721
779401 2717 2811 93 721
779401 2471 2574 102 721
779401 646 968 321 721
779401 66 724 657 721
781565 130260 130262 1 722
781565 52102 52107 4 722
781565 6837 6875 37 722
781565 2695 2790 94 722
783732 87080 87083 2 723
785902 261967 261968 0 724
785902 65490 65494 3 724
785902 20145 20158 12 724
785902 5012 5064 51 724
785902 1357 1538 180 724
788075 131345 131347 1 725
788075 52536 52541 4 725
788075 9044 9073 28 725
788075 5229 5279 49 725
788075 761 1051 289 725
790251 43900 43906 5 726
790251 7966 7999 32 726
790251 6251 6293 41 726
790251 1025 1256 230 726
792430 264143 264144 0 727
792430 66034 66038 3 727
792430 2369 2478 108 727
792430 388 824 435 727
794612 33105 33113 7 728
794612 4702 4758 55 728
794612 4460 4519 58 728
794612 2495 2599 103 728
794612 747 1043 295 728
794612 435 848 412 728
798985 266328 266329 0 730
798985 26628 26638 9 730
798985 12095 12117 21 730
798985 4815 4870 54 730
798985 3612 3685 72 730
798985 1239 1438 198 730
801176 15701 15718 16 731
801176 1881 2018 136 731
801176 846 1118 271 731
803370 89262 89265 2 732
803370 22310 22322 11 732
803370 1372 1555 182 732
805567 268522 268523 0 733
805567 38357 38364 6 733
805567 1632 1789 156 733
807767 134627 134629 1 734
807767 4312 4374 61 734
807767 3757 3828 70 734
809970 17992 18007 14 735
809970 4470 4530 59 735
809970 3060 3147 86 735
809970 2519 2624 104 735
809970 805 1090 284 735
809970 602 950 347 735
809970 433 853 419 735
809970 139 748 608 735
812176 270725 270726 0 736
814385 135730 135732 1 737
814385 54290 54295 4 737
814385 24673 24684 10 737
814385 15960 15977 16 737
814385 10428 10454 25 737
814385 4144 4209 64 737
814385 2413 2523 109 737
814385 1959 2093 133 737
814385 1827 1970 142 737
814385 1512 1682 169 737
814385 1118 1339 220 737
814385 643 978 334 737
814385 539 913 373 737
816597 30240 30249 8 738
818812 272937 272938 0 739
818812 847 1124 276 739
821030 54733 54738 4 740
821030 13674 13694 19 740
821030 7802 7837 34 740
821030 1885 2025 139 740
821030 1387 1572 184 740
821030 705 1022 316 740
823251 91471 91474 2 741
823251 7017 7056 38 741
823251 4786 4843 56 741
823251 4125 4191 65 741
823251 150 756 605 741
825475 275158 275159 0 742
825475 39305 39312 6 742
825475 27511 27521 9 742
825475 10994 11019 24 742
825475 3896 3966 69 742
825475 2543 2649 105 742
825475 1485 1660 174 742
825475 1457 1635 177 742
825475 906 1171 264 742
825475 396 841 444 742
827702 217 774 556 743
829932 11515 11539 23 744
829932 3975 4044 68 744
832165 277388 277389 0 745
832165 27734 27744 9 745
832165 782 1080 297 745
834401 139066 139068 1 746
836640 6175 6220 44 747
836640 728 1043 314 747
838882 279627 279628 0 748
838882 69905 69909 3 748
838882 1402 1589 186 748
841127 140187 140189 1 749
841127 20020 20034 13 749
841127 2567 2674 106 749
843375 93707 93710 2 750
843375 9356 9386 29 750
843375 7189 7228 38 750
843375 3711 3786 74 750
843375 526 916 389 750
845626 281875 281876 0 751
845626 70467 70471 3 751
847880 56523 56528 4 752
847880 25688 25699 10 752
847880 6873 6914 40 752
847880 5990 6037 46 752
847880 3493 3573 79 752
847880 1518 1694 175 752
847880 103 759 655 752
850137 47227 47233 5 753
852397 284132 284133 0 754
852397 40587 40594 6 754
852397 21850 21863 12 754
852397 14945 14964 18 754
852397 8340 8374 33 754
852397 4870 4928 57 754
852397 3077 3168 90 754
852397 2070 2203 132 754
852397 1075 1313 237 754
852397 1027 1274 246 754
852397 497 903 405 754
852397 422 864 441 754
852397 330 823 492 754
852397 117 763 645 754
854660 56975 56980 4 755
854660 35607 35615 7 755
856926 10566 10593 26 756
856926 2591 2699 107 756
856926 1417 1606 188 756
859195 286398 286399 0 757
859195 28635 28645 9 757
859195 404 858 453 757
861467 143577 143579 1 758
863742 95970 95973 2 759
863742 23987 23999 11 759
866020 288673 288674 0 760
866020 15184 15203 18 760
866020 7197 7237 39 760
866020 6692 6735 42 760
866020 957 1222 264 760
866020 469 893 423 760
868301 144716 144718 1 761
868301 20667 20681 13 761
868301 725 1051 325 761
870585 48363 48369 5 762
870585 19339 19354 14 762
872872 290957 290958 0 763
872872 41562 41569 6 763
872872 22375 22388 12 763
872872 18177 18193 15 763
872872 3152 3243 90 763
872872 2615 2724 108 763
872872 2542 2654 111 763
872872 1295 1503 207 763
875162 10045 10074 28 764
875162 2457 2573 115 764
875162 1432 1623 190 764
877455 32494 32503 8 765
877455 3205 3295 89 765
877455 909 1188 278 765
877455 803 1109 305 765
877455 712 1045 332 765
879751 293250 293251 0 766
882050 58801 58806 4 767
882050 14691 14711 19 767
882050 12772 12795 22 767
882050 4954 5013 58 767
882050 4491 4556 64 767
882050 3150 3242 91 767
882050 1128 1364 235 767
882050 1001 1261 259 767
882050 834 1133 298 767
882050 224 799 574 767
884352 98260 98263 2 768
884352 14027 14048 20 768
884352 1932 2079 146 768
886657 295552 295553 0 769
888965 148160 148162 1 770
888965 59262 59267 4 770
888965 26933 26944 10 770
888965 21159 21173 13 770
888965 8449 8484 34 770
888965 3810 3887 76 770
888965 2639 2749 109 770
891276 12367 12391 23 771
891276 5800 5851 50 771
893590 297863 297864 0 772
893590 74464 74468 3 772
893590 1447 1640 192 772
893590 412 875 462 772
895907 149317 149319 1 773
895907 7840 7878 37 773
895907 2387 2509 121 773
898227 16625 16643 17 774
898227 2975 3074 98 774
900550 300183 300184 0 775
900550 75044 75048 3 775
900550 42880 42887 6 775
900550 11995 12020 24 775
900550 10707 10735 27 775
900550 9668 9699 30 775
900550 2952 3052 99 775
900550 2359 2483 123 775
900550 1628 1803 174 775
900550 1275 1492 216 775
900550 516 931 414 775
900550 79 779 699 775
902876 37616 37624 7 776
902876 2842 2946 103 776
902876 1592 1771 178 776
905205 100577 100580 2 777
905205 14358 14379 20 777
905205 10043 10073 29 777
905205 2663 2774 110 777
905205 1332 1542 209 777
907537 302512 302513 0 778
909872 9462 9494 31 779
909872 7377 7418 40 779
909872 195 803 607 779
912210 20264 20279 14 780
912210 5038 5098 59 780
912210 1462 1657 194 780
914551 304850 304851 0 781
914551 13846 13868 21 781
914551 2076 2218 141 781
916895 152815 152817 1 782
916895 61124 61129 4 782
916895 21824 21838 13 782
916895 17970 17987 16 782
916895 13277 13300 22 782
916895 8715 8750 34 782
916895 2509 2628 118 782
916895 2214 2348 133 782
916895 1818 1979 160 782
916895 1713 1883 169 782
916895 1214 1444 229 782
916895 745 1080 334 782
921592 307197 307198 0 784
921592 43882 43889 6 784
921592 19192 19208 15 784
921592 6245 6294 48 784
921592 2687 2799 111 784
923945 153990 153992 1 785
923945 61594 61599 4 785
923945 27993 28004 10 785
923945 2825 2932 106 785
923945 2745 2855 109 785
923945 824 1138 313 785
926301 102921 102924 2 786
928660 309553 309554 0 787
928660 7719 7759 39 787
928660 902 1197 294 787
928660 420 892 471 787
931022 18247 18264 16 788
931022 4530 4598 67 788
931022 1477 1674 196 788
933387 51852 51858 5 789
933387 7387 7429 41 789
933387 3950 4028 77 789
933387 297 843 545 789
935755 311918 311919 0 790
935755 31187 31197 9 790
935755 6758 6804 45 790
935755 3909 3988 78 790
935755 2977 3080 102 790
935755 2655 2770 114 790
938126 2711 2824 112 791
938126 466 918 451 791
938126 231 824 592 791
940500 34829 34838 8 792
940500 1748 1919 170 792
940500 1281 1506 224 792
940500 691 1051 359 792
940500 386 881 494 792
942877 314292 314293 0 793
942877 24170 24183 12 793
942877 5390 5448 57 793
942877 5122 5183 60 793
942877 3792 3874 81 793
942877 40 794 753 793
945257 157542 157544 1 794
947640 105292 105295 2 795
947640 6557 6605 47 795
950026 316675 316676 0 796
950026 79167 79171 3 796
950026 45236 45243 6 796
950026 11296 11324 27 796
950026 10200 10231 30 796
950026 2492 2616 123 796
950026 1492 1691 198 796
950026 1351 1568 216 796
952415 158735 158737 1 797
952415 63492 63497 4 797
952415 1209 1448 238 797
954807 53042 53048 5 798
954807 7557 7599 41 798
954807 2735 2849 113 798
957202 319067 319068 0 799
957202 79765 79769 3 799
959600 63971 63976 4 800
959600 9980 10012 31 800
962001 17806 17824 17 801
964405 321468 321469 0 802
964405 32142 32152 9 802
964405 24722 24735 12 802
964405 8670 8707 36 802
964405 2408 2538 129 802
964405 684 1054 369 802
964405 428 909 480 802
966812 40280 40288 7 803
966812 29292 29303 10 803
966812 5727 5783 55 803
966812 4147 4224 76 803
966812 765 1109 343 803
966812 445 918 472 803
966812 260 844 583 803
969222 107690 107693 2 804
969222 26917 26929 11 804
969222 1507 1708 200 804
971635 323878 323879 0 805
971635 46265 46272 6 805
971635 32383 32393 9 805
971635 9509 9543 33 805
971635 7018 7064 45 805
971635 4592 4662 69 805
971635 3768 3853 84 805
971635 2759 2874 114 805
971635 2210 2352 141 805
971635 1242 1480 237 805
971635 845 1167 321 805
971635 735 1090 354 805
971635 633 1024 390 805
971635 247 842 594 805
974051 162341 162343 1 806
974051 12475 12501 25 806
974051 5206 5268 61 806
976470 21692 21707 14 807
976470 9847 9880 32 807
976470 5395 5455 59 807
976470 2400 2532 131 807
978892 326297 326298 0 808
981317 163552 163554 1 809
983745 4008 4089 80 810
983745 295 862 566 810
986176 328725 328726 0 811
986176 17292 17311 18 811
988610 65905 65910 4 812
988610 16467 16487 19 812
988610 11349 11378 28 812
988610 9398 9433 34 812
988610 2783 2899 115 812
988610 2284 2424 139 812
988610 1522 1725 202 812
991047 110115 110118 2 813
991047 2325 2463 137 813
991047 880 1198 317 813
993487 331162 331163 0 814
993487 15042 15064 21 814
993487 8932 8969 36 814
995930 66393 66398 4 815
995930 16589 16609 19 815
995930 7040 7087 46 815
995930 5075 5140 64 815
995930 1672 1860 187 815
995930 1147 1407 259 815
995930 238 849 610 815
998376 6500 6551 50 816
1000825 333608 333609 0 817
1000825 47655 47662 6 817
1000825 33356 33366 9 817
1000825 17549 17568 18 817
1000825 13332 13357 24 817
1000825 7737 7780 42 817
1000825 6784 6833 48 817
1000825 4731 4801 69 817
1000825 2442 2575 132 817
1000825 1819 1994 174 817
1000825 1661 1851 189 817
1000825 958 1259 300 817
1000825 561 991 429 817
1000825 465 940 474 817
1000825 436 926 489 817
1003277 167212 167214 1 818
1003277 30397 30408 10 818
1003277 527 973 445 818
1005732 37245 37254 8 819
1005732 5290 5353 62 819
1005732 2807 2924 116 819
1008190 336063 336064 0 820
1008190 84014 84018 3 820
1008190 1537 1742 204 820
1010651 168441 168443 1 821
1013115 112567 112570 2 822
1013115 11242 11272 29 822
1013115 3260 3362 101 822
1013115 1854 2028 173 822
1013115 1197 1452 254 822
1013115 559 994 434 822
1015582 338527 338528 0 823
1015582 84630 84634 3 823
1018052 42415 42423 7 824
1018052 6032 6088 55 824
1018052 785 1138 352 824
1020525 56693 56699 5 825
1020525 22671 22686 14 825
1020525 10292 10325 32 825
1020525 2193 2343 149 825
1020525 866 1196 329 825
1023001 341000 341001 0 826
1023001 48711 48718 6 826
1023001 2831 2949 117 826
1025480 68363 68368 4 827
1025480 4233 4313 79 827
1025480 2128 2283 154 827
1027962 1552 1759 206 828
1030447 343482 343483 0 829
1030447 15602 15624 21 829
1030447 1407 1633 225 829
1032935 172155 172157 1 830
1032935 68860 68865 4 830
1032935 9042 9080 37 830
1032935 4107 4190 82 830
1032935 3577 3672 94 830
1032935 2563 2694 130 830
1035426 115046 115049 2 831
1035426 28756 28768 11 831
1035426 16425 16446 20 831
1035426 4067 4151 83 831
1037920 345973 345974 0 832
1037920 26607 26620 12 832
1037920 5374 5438 63 832
1037920 444 943 498 832
1040417 173402 173404 1 833
1040417 24765 24779 13 833
1040417 20392 20409 16 833
1040417 3490 3588 97 833
1040417 2855 2974 118 833
1042917 57937 57943 5 834
1042917 2765 2888 122 834
1042917 767 1133 365 834
1045420 348473 348474 0 835
1045420 8692 8732 39 835
1045420 957 1270 312 835
1047926 31750 31761 10 836
1047926 15176 15199 22 836
1047926 7917 7961 43 836
1047926 3751 3843 91 836
1047926 1567 1776 208 836
1047926 581 1018 436 836
1050435 12955 12982 26 837
1050435 1162 1432 269 837
1052947 350982 350983 0 838
1052947 50137 50144 6 838
1052947 130 848 717 838
1055462 20687 20704 16 839
1055462 5140 5208 67 839
1055462 245 874 628 839
1057980 117552 117555 2 840
1057980 16783 16804 20 840
1057980 2879 2999 119 840
1057980 2055 2220 164 840
1057980 1204 1468 263 840
1057980 170 857 686 840
1060501 353500 353501 0 841
1060501 27186 27199 12 841
1060501 6066 6124 57 841
1060501 3596 3693 96 841
1060501 92 846 753 841
1063025 177170 177172 1 842
1063025 70866 70871 4 842
1063025 7062 7112 49 842
1063025 3458 3559 100 842
1065552 3652 3748 95 843
1068082 356027 356028 0 844
1068082 89005 89009 3 844
1068082 1582 1793 210 844
1070615 178435 178437 1 845
1070615 71372 71377 4 845
1070615 25484 25498 13 845
1070615 13713 13739 25 845
1070615 10179 10214 34 845
1070615 5458 5523 64 845
1070615 1870 2052 181 845
1070615 887 1225 337 845
1070615 805 1167 361 845
1070615 557 1012 454 845
1073151 39742 39751 8 846
1073151 731 1118 386 846
1075690 358563 358564 0 847
1075690 89639 89643 3 847
1075690 51220 51227 6 847
1075690 12792 12820 27 847
1075690 6492 6547 54 847
1075690 2903 3024 120 847
1075690 2760 2887 126 847
1075690 1520 1740 219 847
1075690 739 1124 384 847
1075690 499 983 483 847
1075690 452 960 507 847
1078232 6755 6808 52 848
1080777 120085 120088 2 849
1080777 6292 6349 56 849
1080777 1692 1893 200 849
1083325 361108 361109 0 850
1083325 36106 36116 9 850
1083325 14432 14457 24 850
1083325 10604 10638 33 850
1083325 4206 4291 84 850
1085876 45241 45249 7 851
1085876 32900 32911 10 851
1085876 15726 15749 22 851
1085876 12467 12496 28 851
1085876 1075 1371 295 851
1085876 686 1093 406 851
1088430 24180 24195 14 852
1088430 6017 6077 59 852
1088430 3403 3508 104 852
1088430 1597 1810 212 852
1088430 654 1074 419 852
1090987 363662 363663 0 853
1093547 182257 182259 1 854
1093547 26030 26044 13 854
1093547 14007 14033 25 854
1093547 2927 3049 121 854
1093547 1912 2094 181 854
1093547 1752 1949 196 854
1096110 8097 8142 44 855
1096110 1940 2120 179 855
1098676 366225 366226 0 856
1098676 2625 2761 135 856
1098676 2350 2501 150 856
1101245 183540 183542 1 857
1101245 73414 73419 4 857
1101245 1300 1557 256 857
1103817 122645 122648 2 858
1103817 9415 9454 38 858
1103817 5542 5608 65 858
1103817 3910 4003 92 858
1103817 490 988 497 858
1106392 368797 368798 0 859
1106392 52682 52689 6 859
1106392 23042 23058 15 859
1106392 3237 3349 111 859
1108970 73929 73934 4 860
1108970 18473 18493 19 860
1108970 1612 1827 214 860
1111551 61750 61756 5 861
1111551 8801 8843 41 861
1111551 2951 3074 122 861
1114135 371378 371379 0 862
1114135 37133 37143 9 862
1114135 16870 16892 21 862
1114135 6725 6780 54 862
1114135 3904 3998 93 862
1114135 1463 1698 234 862
1114135 460 977 516 862
1116722 252 899 646 863
1121905 373968 373969 0 865
1121905 37392 37402 9 865
1121905 908 1254 345 865
1124501 187416 187418 1 866
1124501 26767 26781 13 866
1124501 7046 7099 52 866
1124501 3776 3874 97 866
1124501 825 1196 370 866
1127100 125232 125235 2 867
1127100 9614 9653 38 867
1127100 4972 5047 74 867
1127100 3071 3191 119 867
1127100 1346 1601 254 867
1127100 717 1125 407 867
1129702 376567 376568 0 868
1129702 94140 94144 3 868
1129702 53792 53799 6 868
1129702 19810 19829 18 868
1129702 13435 13463 27 868
1129702 12132 12163 30 868
1129702 4917 4993 75 868
1129702 2975 3099 123 868
1129702 2765 2898 132 868
1129702 1627 1844 216 868
1129702 442 974 531 868
1129702 345 934 588 868
1132307 188717 188719 1 869
1132307 34307 34318 10 869
1132307 2310 2468 157 869
1134915 63048 63054 5 870
1134915 25213 25228 14 870
1134915 4305 4392 86 870
1137526 379175 379176 0 871
1137526 94792 94796 3 871
1137526 29161 29174 12 871
1137526 7266 7318 51 871
1137526 5626 5693 66 871
1137526 1281 1549 267 871
1140140 76007 76012 4 872
1140140 47502 47510 7 872
1140140 425 970 544 872
1142757 42320 42329 8 873
1142757 6015 6078 62 873
1142757 1825 2023 197 873
1142757 1092 1398 305 873
1145377 381792 381793 0 874
1145377 20085 20104 18 874
1145377 8277 8323 45 874
1148000 76531 76536 4 875
1148000 10916 10951 34 875
1148000 9313 9354 40 875
1148000 2999 3124 124 875
1148000 1190 1477 286 875
1148000 1036 1356 319 875
1150626 127846 127849 2 876
1150626 31956 31968 11 876
1150626 3400 3511 110 876
1150626 1642 1861 218 876
1150626 642 1086 443 876
1153255 384418 384419 0 877
1153255 38437 38447 9 877
1153255 468 994 525 877
1155887 192647 192649 1 878
1161160 387053 387054 0 880
1161160 55290 55297 6 880
1161160 29767 29780 12 880
1161160 24183 24199 15 880
1161160 7010 7065 54 880
1161160 4208 4299 90 880
1161160 3400 3512 111 880
1161160 2597 2742 144 880
1161160 1757 1965 207 880
1161160 1054 1373 318 880
1161160 813 1198 384 880
1161160 184 899 714 880
1163801 193966 193968 1 881
1166445 21592 21610 17 882
1166445 8618 8663 44 882
1166445 3023 3149 125 882
1166445 1775 1982 206 882
1166445 1077 1392 314 882
1169092 389697 389698 0 883
1169092 1012 1343 330 883
1171742 35502 35513 10 884
1171742 22967 22984 16 884
1171742 8855 8899 43 884
1171742 5710 5778 67 884
1171742 2660 2803 142 884
1171742 1657 1878 220 884
1171742 397 969 571 884
1174395 130487 130490 2 885
1174395 13034 13064 29 885
1174395 929 1283 353 885
1177051 392350 392351 0 886
1179710 78645 78650 4 887
1179710 19652 19672 19 887
1179710 11218 11253 34 887
1179710 4092 4187 94 887
1179710 2739 2879 139 887
1179710 845 1225 379 887
1179710 259 924 664 887
1182372 16410 16434 23 888
1185037 395012 395013 0 889
1185037 56427 56434 6 889
1185037 12727 12758 30 889
1185037 9165 9208 42 889
1185037 3047 3174 126 889
1185037 1712 1929 216 889
1185037 1162 1463 300 889
1187705 197950 197952 1 890
1187705 79178 79183 4 890
1187705 23280 23297 16 890
1187705 4404 4493 88 890
1187705 2244 2414 169 890
1187705 1104 1418 313 890
1187705 112 897 784 890
1193050 397683 397684 0 892
1193050 99419 99423 3 892
1193050 15895 15920 24 892
1193050 3927 4027 99 892
1193050 1672 1895 222 892
1193050 476 1011 534 892
1195727 199287 199289 1 893
1195727 15317 15343 25 893
1195727 10470 10508 37 893
1195727 8457 8504 46 893
1195727 1832 2038 205 893
1195727 560 1054 493 893
1195727 347 958 610 893
1198407 133155 133158 2 894
1198407 19012 19033 20 894
1201090 400363 400364 0 895
1201090 100089 100093 3 895
1201090 7252 7307 54 895
1201090 6533 6594 60 895
1201090 1710 1930 219 895
1201090 1519 1763 243 895
1203776 3071 3199 127 896
1206465 67023 67029 5 897
1206465 26803 26818 14 897
1206465 5794 5863 68 897
1206465 5117 5195 77 897
1206465 1965 2160 194 897
1206465 238 928 689 897
1206465 95 902 806 897
1209157 403052 403053 0 898
1211852 50490 50498 7 899
1211852 13915 13944 28 899
1211852 1505 1753 247 899
1214550 44979 44988 8 900
1214550 11228 11264 35 900
1214550 1687 1912 224 900
1217251 405750 405751 0 901
1217251 57961 57968 6 901
1217251 11917 11951 33 901
1217251 3775 3881 105 901
1217251 2006 2199 192 901
1217251 1586 1824 237 901
1217251 176 918 741 901
1219955 203325 203327 1 902
1219955 81328 81333 4 902
1219955 36963 36974 10 902
1219955 9898 9939 40 902
1219955 3642 3752 109 902
1219955 787 1197 409 902
1222662 135850 135853 2 903
1222662 33957 33969 11 903
1222662 19397 19418 20 903
1222662 4810 4894 83 903
1222662 3095 3224 128 903
1222662 532 1048 515 903
1225372 408457 408458 0 904
1228085 204680 204682 1 905
1228085 81870 81875 4 905
1228085 17787 17810 22 905
1228085 6909 6968 58 905
1228085 1665 1895 229 905
1228085 950 1312 361 905
1228085 399 989 589 905
1230801 68375 68381 5 906
1230801 12416 12449 32 906
1230801 5221 5299 77 906
1230801 3542 3656 113 906
1230801 742 1171 428 906
1230801 341 968 626 906
1233520 411173 411174 0 907
1233520 4795 4880 84 907
1233520 2490 2650 159 907
1233520 484 1028 543 907
1236242 1702 1929 226 908
1236242 865 1254 388 908
1238967 22935 22953 17 909
1238967 1452 1713 260 909
1238967 765 1188 422 909
1241695 413898 413899 0 910
1241695 59125 59132 6 910
1241695 41385 41395 9 910
1241695 31832 31845 12 910
1241695 5878 5948 69 910
1241695 4503 4594 90 910
1241695 3119 3249 129 910
1244426 266 949 682 911
1247160 138572 138575 2 912
1247160 8637 8685 47 912
1247160 7265 7322 56 912
1249897 416632 416633 0 913
1249897 18927 18949 21 913
1249897 11242 11279 36 913
1249897 2427 2593 165 913
1249897 105 919 813 913
1252637 208772 208774 1 914
1255380 27890 27905 14 915
1255380 17424 17448 23 915
1255380 3933 4038 104 915
1255380 2407 2575 167 915
1255380 202 937 734 915
1258126 419375 419376 0 916
1258126 104842 104846 3 916
1258126 6226 6293 66 916
1258126 1717 1946 228 916
1258126 1431 1699 267 916
1260875 210145 210147 1 917
1260875 84056 84061 4 917
1260875 38203 38214 10 917
1260875 30014 30028 13 917
1260875 11991 12026 34 917
1260875 8381 8431 49 917
1260875 5420 5497 76 917
1260875 3766 3876 109 917
1260875 3300 3425 124 917
1260875 3143 3274 130 917
1260875 1391 1666 274 917
1260875 1026 1376 349 917
1260875 161 931 769 917
1260875 43 918 874 917
1263627 15587 15614 26 918
1266382 422127 422128 0 919
1266382 105530 105534 3 919
1266382 32465 32478 12 919
1266382 8092 8144 51 919
1269140 84607 84612 4 920
1269140 52877 52885 7 920
1269140 18382 18405 22 920
1269140 4709 4798 88 920
1269140 2652 2807 154 920
1269140 1582 1830 247 920
1269140 237 950 712 920
1271901 141321 141324 2 921
1274665 424888 424889 0 922
1274665 60695 60702 6 922
1274665 42484 42494 9 922
1274665 6035 6105 69 922
1274665 5339 5418 78 922
1274665 492 1045 552 922
1274665 143 933 789 922
1277432 5962 6033 70 923
1277432 2375 2548 172 923
1280202 12915 12948 32 924
1280202 8342 8393 50 924
1280202 3167 3299 131 924
1280202 1990 2194 203 924
1280202 1732 1963 230 924
1280202 1017 1374 356 924
1282975 427658 427659 0 925
1282975 42761 42771 9 925
1282975 22499 22518 18 925
1282975 17094 17119 24 925
1282975 11540 11577 36 925
1282975 5822 5895 72 925
1282975 2156 2346 189 925
1282975 971 1341 369 925
1282975 663 1138 474 925
1282975 257 960 702 925
1282975 221 951 729 925
1285751 214291 214293 1 926
1288530 47719 47728 8 927
1288530 11913 11949 35 927
1291312 430437 430438 0 928
1291312 3497 3618 120 928
1291312 1575 1828 252 928
1291312 1190 1509 318 928
1291312 1047 1399 351 928
1291312 312 979 666 928
1291312 217 953 735 928
1294097 215682 215684 1 929
1294097 30805 30819 13 929
1294097 885 1283 397 929
1296885 144097 144100 2 930
1296885 14395 14425 29 930
1296885 4602 4695 92 930
1299676 433225 433226 0 931
1299676 61886 61893 6 931
1299676 22792 22811 18 931
1299676 8817 8866 48 931
1299676 3191 3324 132 931
1299676 1067 1416 348 931
1302470 86829 86834 4 932
1302470 21698 21718 19 932
1302470 6647 6712 64 932
1302470 1912 2127 214 932
1302470 1747 1980 232 932
1302470 1540 1800 259 932
1302470 75 935 859 932
1305267 72512 72518 5 933
1308067 436022 436023 0 934
1310870 87389 87394 4 935
1310870 39718 39729 10 935
1310870 25695 25712 16 935
1310870 21838 21858 19 935
1310870 9909 9953 43 935
1310870 6392 6460 67 935
1310870 273 974 700 935
1313676 6046 6118 71 936
1313676 617 1121 503 936
1316485 438828 438829 0 937
1316485 43878 43888 9 937
1316485 500 1062 561 937
1319297 219882 219884 1 938
1319297 31405 31419 13 938
1319297 15150 15179 28 938
1319297 3215 3349 133 938
1319297 2170 2364 193 938
1319297 2065 2268 202 938
1322112 146900 146903 2 939
1322112 190 958 767 939
1324930 441643 441644 0 940
1324930 110409 110413 3 940
1324930 1762 1997 234 940
1327751 221291 221293 1 941
1327751 26026 26043 16 941
1327751 5291 5374 82 941
1330575 73918 73924 5 942
1330575 29561 29576 14 942
1330575 2882 3032 149 942
1330575 1139 1478 338 942
1333402 444467 444468 0 943
1333402 111115 111119 3 943
1333402 63492 63499 6 943
1333402 15860 15888 27 943
1336232 7520 7579 58 944
1336232 2915 3064 148 944
1339065 8239 8293 53 945
1339065 3239 3374 134 945
1339065 992 1370 377 945
1339065 285 987 701 945
1341901 447300 447301 0 946
1341901 20321 20343 21 946
1341901 10381 10424 42 946
1344740 89647 89652 4 947
1344740 56027 56035 7 947
1344740 6278 6349 70 947
1347582 149730 149733 2 948
1347582 37427 37439 11 948
1347582 1777 2014 236 948
1350427 450142 450143 0 949
1350427 34620 34633 12 949
1350427 6130 6203 72 949
1353275 225545 225547 1 950
1353275 90216 90221 4 950
1353275 41003 41014 10 950
1353275 32214 32228 13 950
1353275 12871 12906 34 950
1353275 11852 11890 37 950
1353275 8997 9047 49 950
1353275 6059 6133 73 950
1353275 5820 5897 76 950
1353275 4701 4796 94 950
1353275 4046 4156 109 950
1353275 2346 2531 184 950
1353275 2054 2263 208 950
1353275 1563 1829 265 950
1353275 1503 1778 274 950
1353275 1114 1464 349 950
1353275 905 1312 406 950
1353275 612 1130 517 950
1353275 346 1011 664 950
1353275 201 971 769 950
1356126 6517 6586 68 951
1356126 1500 1776 275 951
1358980 452993 452994 0 952
1358980 64710 64717 6 952
1358980 11305 11345 39 952
1358980 5287 5372 84 952
1358980 3263 3399 135 952
1358980 1478 1758 279 952
1358980 508 1079 570 952
1358980 464 1059 594 952
1361837 226972 226974 1 953
1364697 50540 50549 8 954
1367560 455853 455854 0 955
1367560 28483 28499 15 955
1367560 62 957 894 955
1370426 9696 9743 46 956
1370426 2336 2524 187 956
1370426 1792 2031 238 956
1373295 152587 152590 2 957
1373295 21788 21809 20 957
1373295 15244 15274 29 957
1373295 6903 6969 65 957
1373295 2692 2857 164 957
1373295 2544 2718 173 957
1373295 2075 2285 209 957
1373295 1738 1984 245 957
1373295 835 1270 434 957
1373295 760 1222 461 957
1373295 437 1052 614 957
1376167 458722 458723 0 958
1376167 35280 35293 12 958
1376167 13475 13509 33 958
1376167 2630 2799 168 958
1376167 817 1259 441 958
1379042 3287 3424 136 959
1379042 565 1113 547 959
1379042 280 999 718 959
1381920 30702 30717 14 960
1384801 461600 461601 0 961
1384801 20971 20993 21 961
1384801 14875 14906 30 961
