Hecate:ProjectEuler fwu$ python euler0044.py
32340 503 524 20 147
32340 30 150 119 147
32782 10927 10928 0 148
32782 2730 2734 3 148
32782 277 314 36 148
33227 5537 5539 1 149
33675 1868 1874 5 150
33675 741 756 14 150
34126 11375 11376 0 151
34126 2842 2846 3 151
34580 2303 2308 4 152
34580 1437 1445 7 152
34580 312 347 34 152
34580 178 234 55 152
34580 145 210 64 152
34580 74 169 94 152
34580 59 163 103 152
35037 640 658 17 153
35497 11832 11833 0 154
35497 1687 1694 6 154
35497 527 549 21 154
35960 2395 2400 4 155
35960 399 428 28 155
35960 110 190 79 155
36426 4046 4049 2 156
36426 1006 1018 11 156
36426 292 331 38 156
36895 12298 12299 0 157
36895 1225 1235 9 157
36895 84 178 93 157
37367 6227 6229 1 158
37367 1127 1138 10 158
37367 102 188 85 158
37842 222 273 50 159
38320 12773 12774 0 160
38801 6466 6468 1 161
38801 917 931 13 161
38801 551 574 22 161
39772 13257 13258 0 163
39772 187 248 60 163
40262 307 348 40 164
40755 4527 4530 2 165
40755 438 468 29 165
40755 329 368 38 165
40755 210 267 56 165
40755 173 239 65 165
41251 13750 13751 0 166
41251 1961 1968 6 166
41251 26 168 141 166
41750 2781 2786 4 167
41750 686 706 19 167
41750 49 174 124 167
42252 575 599 23 168
42757 14252 14253 0 169
42757 1090 1103 12 169
42757 637 659 21 169
42757 287 333 45 169
43265 7210 7212 1 170
43265 2882 2887 4 170
43265 840 857 16 170
43776 1617 1626 8 171
44290 14763 14764 0 172
44290 3689 3693 3 172
44290 322 365 42 172
44290 92 195 102 172
44807 7467 7469 1 173
44807 1060 1074 13 173
44807 165 239 73 173
45327 5035 5038 2 174
45850 15283 15284 0 175
45850 3819 3823 3 175
45850 2180 2187 6 175
45850 599 624 24 175
45850 532 560 27 175
45850 103 203 99 175
46376 1400 1411 10 176
46376 901 918 16 176
46905 2603 2609 5 177
46905 1035 1050 14 177
46905 19 178 158 177
47437 15812 15813 0 178
47437 1210 1223 12 178
47437 152 234 81 178
47972 1995 2003 7 179
48510 337 382 44 180
48510 114 213 98 180
49051 16350 16351 0 181
49595 8265 8267 1 182
49595 3304 3309 4 182
49595 1174 1188 13 182
49595 623 649 25 182
49595 455 490 34 182
49595 222 287 64 182
50142 5570 5573 2 183
50142 1387 1399 11 183
50692 16897 16898 0 184
50692 880 899 18 184
51245 8540 8542 1 185
51245 3414 3419 4 185
51245 194 268 73 185
51801 2875 2881 5 186
52360 17453 17454 0 187
52360 2490 2497 6 187
52360 1083 1099 15 187
52360 290 345 54 187
52360 163 248 84 187
52360 100 212 111 187
52922 352 399 46 188
53487 647 674 26 189
54055 18018 18019 0 190
54055 1797 1807 9 190
54055 939 958 18 190
54626 1650 1661 10 191
54626 392 436 43 191
54626 56 199 142 191
55200 6132 6135 2 192
55200 208 283 74 192
55777 18592 18593 0 193
55777 530 564 33 193
56357 9392 9394 1 194
56357 1335 1349 13 194
56357 185 268 82 194
56940 1258 1273 14 195
56940 779 803 23 195
57526 19175 19176 0 196
57526 4792 4796 3 196
57526 2736 2743 6 196
57526 671 699 27 196
57526 367 416 48 196
58115 9685 9687 1 197
58115 3872 3877 4 197
58115 299 358 58 197
58707 2170 2179 8 198
59302 19767 19768 0 199
59302 4940 4944 3 199
59900 3991 3996 4 200
59900 2492 2500 7 200
60501 6721 6724 2 201
60501 950 971 20 201
60501 92 221 128 201
61105 20368 20369 0 202
61105 2032 2042 9 202
61105 915 937 21 202
61105 343 398 54 202
61105 108 229 120 202
61712 695 724 28 203
61712 627 659 31 203
62322 382 433 50 204
62322 77 218 140 204
62935 20978 20979 0 205
62935 2093 2103 9 205
62935 215 297 81 205
63551 10591 10593 1 206
64170 453 498 44 207
64170 29 209 179 207
64792 21597 21598 0 208
64792 3082 3089 6 208
64792 1655 1668 12 208
64792 1342 1358 15 208
64792 192 283 90 208
64792 137 249 111 208
65417 10902 10904 1 209
65417 1977 1988 10 209
65417 555 593 37 209
66045 7337 7340 2 210
66045 1038 1059 20 210
66045 719 749 29 210
66045 165 267 101 210
66045 143 254 110 210
66676 22225 22226 0 211
66676 242 321 78 211
67310 4485 4490 4 212
